Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR,Recession
7/31/1998,,,5.1,5.21,5.38,5.49,5.48,5.52,5.56,5.5,5.81,5.72,0
6/30/1998,,,5.1,5.24,5.38,5.49,5.49,5.47,5.52,5.44,5.73,5.62,0
5/31/1998,,,5.03,5.33,5.42,5.53,5.54,5.56,5.63,5.56,5.9,5.81,0
4/30/1998,,,5,5.24,5.4,5.59,5.62,5.65,5.74,5.68,6.04,5.95,0
3/31/1998,,,5.16,5.27,5.41,5.6,5.61,5.64,5.74,5.67,6.02,5.94,0
2/28/1998,,,5.32,5.33,5.41,5.55,5.55,5.59,5.67,5.62,5.99,5.92,0
1/31/1998,,,5.19,5.24,5.24,5.32,5.35,5.39,5.51,5.53,5.88,5.82,0
12/31/1997,,,5.36,5.45,5.51,5.66,5.68,5.71,5.77,5.75,6.02,5.93,0
11/30/1997,,,5.22,5.43,5.52,5.76,5.8,5.83,5.89,5.86,6.12,6.04,0
10/31/1997,,,5.21,5.32,5.36,5.63,5.7,5.72,5.87,5.84,6.21,6.15,0
9/30/1997,,,5.06,5.28,5.47,5.8,5.88,6,6.11,6.12,6.47,6.41,0
8/31/1997,,,5.24,5.39,5.59,5.97,6.1,6.22,6.33,6.34,6.69,6.61,0
7/31/1997,,,5.25,5.33,5.45,5.74,5.81,5.9,5.99,6.02,6.35,6.3,0
6/30/1997,,,5.25,5.34,5.67,6.08,6.25,6.4,6.49,6.51,6.86,6.8,0
5/31/1997,,,4.96,5.46,5.78,6.22,6.37,6.51,6.61,6.67,6.99,6.92,0
4/30/1997,,,5.28,5.53,5.9,6.29,6.42,6.57,6.68,6.72,7.05,6.95,0
3/31/1997,,,5.35,5.55,6.02,6.45,6.6,6.77,6.89,6.92,7.22,7.1,0
2/28/1997,,,5.22,5.39,5.67,6.09,6.23,6.39,6.5,6.56,6.91,6.8,0
1/31/1997,,,5.15,5.28,5.58,5.94,6.08,6.26,6.4,6.53,6.86,6.8,0
12/31/1996,,,5.21,5.33,5.51,5.88,6.04,6.21,6.34,6.43,6.73,6.65,0
11/30/1996,,,5.13,5.25,5.38,5.59,5.7,5.84,5.97,6.06,6.45,6.36,0
10/31/1996,,,5.17,5.3,5.44,5.77,5.92,6.1,6.24,6.37,6.74,6.66,0
9/30/1996,,,5.14,5.37,5.71,6.1,6.28,6.46,6.6,6.72,7.05,6.93,0
8/31/1996,,,5.29,5.49,5.91,6.34,6.54,6.73,6.86,6.96,7.28,7.13,0
7/31/1996,,,5.32,5.47,5.85,6.22,6.39,6.57,6.68,6.8,7.07,6.98,0
6/30/1996,,,5.18,5.37,5.7,6.11,6.3,6.47,6.61,6.73,7.03,6.9,0
5/31/1996,,,5.18,5.36,5.77,6.27,6.44,6.64,6.78,6.85,7.17,7,0
4/30/1996,,,5.14,5.3,5.62,6.03,6.19,6.4,6.58,6.66,7.06,6.89,0
3/31/1996,,,5.13,5.2,5.41,5.79,5.91,6.1,6.3,6.34,6.83,6.67,0
2/29/1996,,,5.02,5.05,5.23,5.44,5.56,5.73,5.99,6.13,6.57,6.48,0
1/31/1996,,,5.05,4.97,4.9,4.93,5.06,5.25,5.46,5.6,6.07,6.03,0
12/31/1995,,,5.1,5.17,5.18,5.18,5.25,5.38,5.49,5.58,6.01,5.96,0
11/30/1995,,,5.48,5.46,5.36,5.36,5.41,5.53,5.68,5.76,6.2,6.14,0
10/31/1995,,,5.48,5.55,5.55,5.61,5.7,5.81,5.92,6.03,6.4,6.34,0
9/30/1995,,,5.4,5.57,5.65,5.83,5.91,6.01,6.11,6.17,6.6,6.49,0
8/31/1995,,,5.45,5.53,5.65,5.85,5.95,6.07,6.21,6.28,6.72,6.65,0
7/31/1995,,,5.6,5.63,5.67,5.88,6.02,6.16,6.35,6.45,6.88,6.86,0
6/30/1995,,,5.6,5.59,5.65,5.79,5.88,5.98,6.12,6.21,6.64,6.63,0
5/31/1995,,,5.81,5.83,5.8,5.89,5.95,6.08,6.18,6.3,6.72,6.67,0
4/30/1995,,,5.87,6.08,6.32,6.6,6.72,6.88,6.95,7.07,7.42,7.34,0
3/31/1995,,,5.88,6.13,6.49,6.8,6.92,7.08,7.17,7.2,7.54,7.44,0
2/28/1995,,,5.94,6.19,6.44,6.79,6.9,7.06,7.15,7.22,7.58,7.46,0
1/31/1995,,,6,6.4,6.84,7.26,7.39,7.54,7.58,7.6,7.81,7.71,0
12/31/1994,,,5.68,6.51,7.2,7.69,7.8,7.83,7.84,7.84,8.02,7.89,0
11/30/1994,,,5.72,6.22,6.91,7.4,7.62,7.79,7.84,7.91,8.1,7.99,0
10/31/1994,,,5.2,5.72,6.18,6.84,7.1,7.48,7.65,7.81,8.09,7.97,0
9/30/1994,,,4.8,5.43,5.96,6.62,6.92,7.28,7.46,7.62,7.98,7.82,0
8/31/1994,,,4.68,5.03,5.56,6.17,6.44,6.81,7,7.19,7.6,7.46,0
7/31/1994,,,4.39,4.87,5.37,5.99,6.33,6.73,6.92,7.12,7.46,7.39,0
6/30/1994,,,4.26,4.83,5.51,6.19,6.52,6.97,7.18,7.34,7.75,7.63,0
5/31/1994,,,4.31,4.87,5.38,6.01,6.36,6.77,6.99,7.17,7.58,7.44,0
4/30/1994,,,3.97,4.45,5.07,5.73,6.16,6.64,6.88,7.06,7.44,7.31,0
3/31/1994,,,3.56,3.92,4.5,5.21,5.66,6.23,6.59,6.77,7.23,7.11,0
2/28/1994,,,3.47,3.72,4.03,4.67,5.04,5.6,5.94,6.15,6.75,6.67,0
1/31/1994,,,3.05,3.25,3.53,4.12,4.44,5.02,5.34,5.7,6.29,6.23,0
12/31/1993,,,3.07,3.3,3.63,4.25,4.58,5.21,5.53,5.83,6.48,6.35,0
11/30/1993,,,3.21,3.4,3.65,4.22,4.55,5.15,5.53,5.83,6.46,6.29,0
10/31/1993,,,3.1,3.28,3.47,3.99,4.3,4.83,5.19,5.43,6.12,5.96,0
9/30/1993,,,2.98,3.13,3.39,3.89,4.24,4.79,5.11,5.4,,6.04,0
8/31/1993,,,3.08,3.21,3.38,3.88,4.2,4.8,5.11,5.45,,6.09,0
7/31/1993,,,3.1,3.28,3.53,4.13,4.5,5.16,5.5,5.83,,6.57,0
6/30/1993,,,3.1,3.22,3.45,4.03,4.39,5.05,5.46,5.8,,6.68,0
5/31/1993,,,3.13,3.32,3.62,4.24,4.63,5.37,5.8,6.16,,6.98,0
4/30/1993,,,2.97,3.07,3.26,3.83,4.3,5.14,5.63,6.05,,6.95,0
3/31/1993,,,2.95,3.09,3.32,3.96,4.42,5.24,5.72,6.03,,6.93,0
2/28/1993,,,3.01,3.14,3.32,3.92,4.37,5.21,5.67,6.03,,6.9,0
1/31/1993,,,2.96,3.16,3.39,4.2,4.72,5.57,6,6.39,,7.21,0
12/31/1992,,,3.15,3.38,3.61,4.56,5.12,6.04,6.43,6.7,,7.4,0
11/30/1992,,,3.38,3.58,3.83,4.79,5.36,6.23,6.61,6.95,,7.59,0
10/31/1992,,,3.03,3.29,3.54,4.4,4.98,5.9,6.36,6.8,,7.63,0
9/30/1992,,,2.75,2.92,3.06,3.8,4.34,5.33,5.94,6.37,,7.38,0
8/31/1992,,,3.23,3.35,3.47,4.15,4.69,5.6,6.17,6.62,,7.42,0
7/31/1992,,,3.25,3.38,3.62,4.42,4.97,5.84,6.27,6.72,,7.46,0
6/30/1992,,,3.65,3.77,4.05,4.83,5.39,6.29,6.76,7.14,,7.79,0
5/31/1992,,,3.79,3.96,4.24,5.19,5.75,6.61,7,7.33,,7.84,0
4/30/1992,,,3.79,3.97,4.4,5.46,6.05,6.91,7.26,7.61,,8.06,0
3/31/1992,,,4.15,4.32,4.54,5.6,6.17,6.94,7.25,7.54,,7.96,0
2/29/1992,,,4.03,4.14,4.35,5.27,5.75,6.58,6.95,7.27,,7.8,0
1/31/1992,,,3.94,4.07,4.23,5.11,5.65,6.44,6.92,7.31,,7.77,0
12/31/1991,,,3.96,4,4.12,4.77,5.11,5.93,6.38,6.71,,7.41,0
11/30/1991,,,4.47,4.57,4.69,5.38,5.76,6.48,6.99,7.38,,7.94,0
10/31/1991,,,4.96,5.03,5.1,5.7,6.06,6.74,7.15,7.47,,7.91,0
9/30/1991,,,5.26,5.34,5.42,5.99,6.28,6.92,7.29,7.47,,7.82,0
8/31/1991,,,5.49,5.6,5.72,6.36,6.68,7.34,7.67,7.82,,8.06,0
7/31/1991,,,5.7,5.93,6.19,6.81,7.21,7.77,8.03,8.2,,8.36,0
6/30/1991,,,5.71,5.95,6.32,6.9,7.33,7.9,8.14,8.24,,8.42,0
5/31/1991,,,5.71,5.94,6.16,6.68,7.1,7.69,7.92,8.06,,8.26,0
4/30/1991,,,5.68,5.83,6.06,6.8,7.15,7.63,7.88,8.02,,8.2,0
3/31/1991,,,5.92,6.05,6.28,7.02,7.3,7.73,7.96,8.05,,8.24,1
2/28/1991,,,6.22,6.32,6.41,7.04,7.26,7.66,7.89,8.02,,8.19,1
1/31/1991,,,6.37,6.49,6.51,7.05,7.3,7.62,7.89,8.03,,8.21,1
12/31/1990,,,6.63,6.73,6.82,7.15,7.4,7.68,8,8.08,,8.26,1
11/30/1990,,,7.24,7.36,7.31,7.53,7.67,7.91,8.18,8.26,,8.4,1
10/31/1990,,,7.34,7.46,7.43,7.77,7.97,8.24,8.5,8.65,,8.78,1
9/30/1990,,,7.37,7.54,7.69,8.02,8.19,8.47,8.73,8.82,,8.96,1
8/31/1990,,,7.63,7.74,7.76,8.07,8.26,8.5,8.77,8.86,,8.99,1
7/31/1990,,,7.74,7.72,7.72,7.91,8.04,8.13,8.28,8.36,,8.42,1
6/30/1990,,,8,8.02,8.05,8.24,8.32,8.35,8.46,8.43,,8.41,0
5/31/1990,,,8.01,8.12,8.22,8.5,8.53,8.56,8.64,8.6,,8.58,0
4/30/1990,,,8.07,8.44,8.58,8.96,9.05,9.04,9.06,9.04,,9,0
3/31/1990,,,8.07,8.24,8.35,8.64,8.69,8.65,8.7,8.65,,8.63,0
2/28/1990,,,8.04,8.14,8.12,8.43,8.45,8.44,8.54,8.51,,8.54,0
1/31/1990,,,8,8.13,8.08,8.28,8.36,8.35,8.39,8.43,,8.46,0
