Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR,Recession
7/31/2017,1,,1.07,1.13,1.23,1.34,1.51,1.84,2.11,2.3,2.66,2.89,0
6/30/2017,0.84,,1.03,1.14,1.24,1.38,1.55,1.89,2.14,2.31,2.61,2.84,0
5/31/2017,0.86,,0.98,1.08,1.17,1.28,1.44,1.75,2.02,2.21,2.6,2.87,0
4/30/2017,0.68,,0.8,0.99,1.07,1.28,1.45,1.81,2.1,2.29,2.67,2.96,0
3/31/2017,0.74,,0.76,0.91,1.03,1.27,1.5,1.93,2.22,2.4,2.76,3.02,0
2/28/2017,0.4,,0.53,0.69,0.88,1.22,1.49,1.89,2.19,2.36,2.7,2.97,0
1/31/2017,0.5,,0.52,0.64,0.84,1.19,1.46,1.9,2.24,2.45,2.78,3.05,0
12/31/2016,0.44,,0.51,0.62,0.85,1.2,1.47,1.93,2.25,2.45,2.79,3.06,0
11/30/2016,0.38,,0.48,0.62,0.8,1.11,1.4,1.83,2.18,2.37,2.73,3.02,0
10/31/2016,0.2,,0.34,0.51,0.66,0.86,1,1.31,1.62,1.84,2.25,2.58,0
9/30/2016,0.2,,0.29,0.45,0.59,0.77,0.88,1.14,1.42,1.6,1.99,2.32,0
8/31/2016,0.26,,0.33,0.47,0.61,0.8,0.92,1.19,1.45,1.58,1.9,2.23,0
7/31/2016,0.19,,0.28,0.38,0.5,0.67,0.76,1.03,1.29,1.46,1.78,2.18,0
6/30/2016,0.2,,0.26,0.36,0.45,0.58,0.71,1.01,1.29,1.49,1.86,2.3,0
5/31/2016,0.27,,0.34,0.49,0.68,0.87,1.03,1.37,1.66,1.84,2.23,2.64,0
4/30/2016,0.16,,0.22,0.4,0.56,0.77,0.92,1.28,1.6,1.83,2.26,2.66,0
3/31/2016,0.18,,0.21,0.39,0.59,0.73,0.87,1.21,1.54,1.78,2.2,2.61,0
2/29/2016,0.23,,0.33,0.49,0.62,0.78,0.91,1.22,1.52,1.74,2.19,2.61,0
1/31/2016,0.22,,0.33,0.43,0.47,0.76,0.97,1.33,1.67,1.94,2.36,2.75,0
12/31/2015,0.14,,0.16,0.49,0.65,1.06,1.31,1.76,2.09,2.27,2.67,3.01,0
11/30/2015,0.11,,0.22,0.42,0.51,0.94,1.24,1.65,1.99,2.21,2.63,2.98,0
10/31/2015,0.01,,0.08,0.23,0.34,0.75,1.05,1.52,1.88,2.16,2.57,2.93,0
9/30/2015,0,,0,0.08,0.33,0.64,0.92,1.37,1.75,2.06,2.51,2.87,0
8/31/2015,0,,0.08,0.27,0.39,0.74,1.07,1.54,1.94,2.21,2.64,2.95,0
7/31/2015,0.04,,0.08,0.14,0.33,0.67,1,1.54,1.93,2.2,2.61,2.92,0
6/30/2015,0.02,,0.01,0.11,0.28,0.64,1.01,1.63,2.07,2.35,2.83,3.11,0
5/31/2015,0.01,,0.01,0.06,0.26,0.61,0.94,1.49,1.86,2.12,2.63,2.88,0
4/30/2015,0,,0.01,0.06,0.24,0.58,0.91,1.43,1.79,2.05,2.49,2.75,0
3/31/2015,0.05,,0.03,0.14,0.26,0.56,0.89,1.37,1.71,1.94,2.31,2.54,0
2/28/2015,0.02,,0.02,0.07,0.22,0.63,1.01,1.5,1.82,2,2.38,2.6,0
1/31/2015,0.01,,0.02,0.07,0.18,0.47,0.77,1.18,1.49,1.68,2.04,2.25,0
12/31/2014,0.03,,0.04,0.12,0.25,0.67,1.1,1.65,1.97,2.17,2.47,2.75,0
11/30/2014,0.04,,0.02,0.07,0.13,0.47,0.88,1.49,1.89,2.18,2.62,2.89,0
10/31/2014,0.01,,0.01,0.05,0.11,0.5,0.95,1.62,2.05,2.35,2.81,3.07,0
9/30/2014,0.02,,0.02,0.03,0.13,0.58,1.07,1.78,2.22,2.52,2.98,3.21,0
8/31/2014,0.02,,0.03,0.05,0.09,0.48,0.94,1.63,2.05,2.35,2.83,3.09,0
7/31/2014,0.01,,0.03,0.05,0.12,0.53,1.02,1.76,2.24,2.58,3.07,3.32,0
